asset_class,asset,model,cv_accuracy,cv_accuracy_std,test_accuracy
Commodities,Wheat,RandomForest,0.5305343511450382,0.04857985519602235,0.5228426395939086
Commodities,Wheat,LogisticRegression,0.5465648854961832,0.056012019321661485,0.4720812182741117
Crypto,BNB,CatBoost,0.5179487179487179,0.08973951964722522,0.4431818181818182
Crypto,BNB,XGBoost,0.5196581196581197,0.06607230116269296,0.5340909090909091
Crypto,BNB,LightGBM,0.5162393162393162,0.07423607094225114,0.4772727272727273
Crypto,BNB,RandomForest,0.5179487179487179,0.06589516330733805,0.48863636363636365
Crypto,BNB,LogisticRegression,0.44273504273504277,0.04936591137843985,0.5227272727272727
Crypto,BTC,CatBoost,0.4683760683760684,0.0347811794006424,0.4943181818181818
Crypto,BTC,XGBoost,0.4735042735042735,0.05340341658739592,0.4715909090909091
Crypto,BTC,LightGBM,0.482051282051282,0.057105275516205346,0.45454545454545453
Crypto,BTC,RandomForest,0.5094017094017094,0.044771968730628345,0.4431818181818182
Crypto,BTC,LogisticRegression,0.4752136752136752,0.09828688212967557,0.4659090909090909
Crypto,ETH,CatBoost,0.576068376068376,0.04731060684819845,0.4318181818181818
Crypto,ETH,XGBoost,0.5384615384615384,0.06418797728382424,0.3806818181818182
Crypto,ETH,LightGBM,0.5452991452991454,0.0433797522750411,0.42045454545454547
Crypto,ETH,RandomForest,0.5829059829059828,0.039501606865953325,0.3693181818181818
Crypto,ETH,LogisticRegression,0.5350427350427351,0.08208688686183227,0.4034090909090909
Crypto,LTC,CatBoost,0.49059829059829063,0.03401666451646564,0.5
Crypto,LTC,XGBoost,0.52991452991453,0.06943622568064924,0.4318181818181818
Crypto,LTC,LightGBM,0.5162393162393163,0.05528533890186744,0.45454545454545453
Crypto,LTC,RandomForest,0.5333333333333332,0.07807307519090077,0.4772727272727273
Crypto,LTC,LogisticRegression,0.517948717948718,0.1299145299145299,0.4602272727272727
Crypto,SOL,CatBoost,0.5401709401709403,0.028295633089310858,0.4715909090909091
Crypto,SOL,XGBoost,0.5914529914529914,0.07199808440565021,0.4602272727272727
Crypto,SOL,LightGBM,0.5777777777777778,0.06567306910187537,0.4715909090909091
Crypto,SOL,RandomForest,0.5401709401709403,0.04693856484699479,0.44886363636363635
Crypto,SOL,LogisticRegression,0.4854700854700855,0.07896621854667418,0.48863636363636365
Crypto,TAO,CatBoost,0.5300970873786408,0.019991514836867952,0.5769230769230769
Crypto,TAO,XGBoost,0.5339805825242718,0.04026493466665575,0.5512820512820513
Crypto,TAO,LightGBM,0.5766990291262136,0.05443823599563568,0.5512820512820513
Crypto,TAO,RandomForest,0.5572815533980583,0.028537744576114688,0.5897435897435898
Crypto,TAO,LogisticRegression,0.45048543689320386,0.06963270321181012,0.48717948717948717
Crypto,TRX,CatBoost,0.49572649572649574,0.0934716110392637,0.5568181818181818
Crypto,TRX,XGBoost,0.4769230769230769,0.05334867191222987,0.6988636363636364
Crypto,TRX,LightGBM,0.4769230769230769,0.05705408296847396,0.6761363636363636
Crypto,TRX,RandomForest,0.49914529914529915,0.09309571831924857,0.4943181818181818
Crypto,TRX,LogisticRegression,0.4735042735042735,0.0938771296939896,0.5397727272727273
Crypto,UNI,CatBoost,0.5196581196581197,0.10089815086067491,0.375
Crypto,UNI,XGBoost,0.5145299145299145,0.13539929127051523,0.3693181818181818
Crypto,UNI,LightGBM,0.5094017094017094,0.11269093828273168,0.35795454545454547
Crypto,UNI,RandomForest,0.5623931623931624,0.11522939860753993,0.39204545454545453
Crypto,UNI,LogisticRegression,0.5196581196581197,0.11484838996403983,0.44886363636363635
Crypto,WLD,CatBoost,0.5111111111111111,0.1107027340765277,0.38636363636363635
Crypto,WLD,XGBoost,0.49914529914529915,0.1677131293868176,0.44886363636363635
Crypto,WLD,LightGBM,0.49572649572649574,0.1405456737852613,0.4375
Crypto,WLD,RandomForest,0.49230769230769234,0.13904067971051456,0.4034090909090909
Crypto,WLD,LogisticRegression,0.5470085470085471,0.13514007094736666,0.4715909090909091
Crypto,XMR,CatBoost,0.49827586206896546,0.04021346134376071,0.5227272727272727
Crypto,XMR,XGBoost,0.496551724137931,0.05274847772682191,0.5227272727272727
Crypto,XMR,LightGBM,0.5258620689655171,0.06610444659545107,0.5170454545454546
Crypto,XMR,RandomForest,0.5120689655172413,0.06646322505998753,0.5284090909090909
Crypto,XMR,LogisticRegression,0.5620689655172414,0.08798172980809017,0.5795454545454546
ETFs,AGG,CatBoost,0.5053763440860215,0.08507544277355907,0.5071428571428571
ETFs,AGG,XGBoost,0.4956989247311828,0.07823642909067202,0.5535714285714286
ETFs,AGG,LightGBM,0.4924731182795699,0.07592646642541821,0.5428571428571428
ETFs,AGG,RandomForest,0.4989247311827957,0.10592352994429895,0.5678571428571428
ETFs,AGG,LogisticRegression,0.5010752688172043,0.04861356798046158,0.3821428571428571
ETFs,EEM,CatBoost,0.5236559139784946,0.044672210920088155,0.3464285714285714
ETFs,EEM,XGBoost,0.5139784946236559,0.03655913978494624,0.3607142857142857
ETFs,EEM,LightGBM,0.5311827956989247,0.04399413450640599,0.3464285714285714
ETFs,EEM,RandomForest,0.5397849462365591,0.03640066855873283,0.3464285714285714
ETFs,EEM,LogisticRegression,0.5451612903225806,0.05414915403016849,0.325
ETFs,EFA,CatBoost,0.4935483870967742,0.024378030212375553,0.3821428571428571
ETFs,EFA,XGBoost,0.5118279569892473,0.05127578072071556,0.3678571428571429
ETFs,EFA,LightGBM,0.5118279569892473,0.04967229876323053,0.3607142857142857
ETFs,EFA,RandomForest,0.4881720430107527,0.05581049149402573,0.38571428571428573
ETFs,EFA,LogisticRegression,0.4698924731182796,0.04657292005958647,0.3535714285714286
ETFs,EWY,CatBoost,0.5193548387096774,0.03988653116342238,0.3142857142857143
ETFs,EWY,XGBoost,0.4924731182795699,0.016518593006169036,0.3607142857142857
ETFs,EWY,LightGBM,0.4827956989247312,0.029131649858374326,0.3107142857142857
ETFs,EWY,RandomForest,0.5086021505376344,0.026250657238136993,0.325
ETFs,EWY,LogisticRegression,0.5043010752688172,0.064730825562548,0.29285714285714287
ETFs,GLD,CatBoost,0.5333333333333333,0.08731553570177114,0.525
ETFs,GLD,XGBoost,0.5333333333333333,0.09164419678564523,0.5357142857142857
ETFs,GLD,LightGBM,0.5279569892473118,0.08658418124385975,0.55
ETFs,GLD,RandomForest,0.521505376344086,0.07761325777470361,0.5464285714285714
ETFs,GLD,LogisticRegression,0.5204301075268817,0.09450138728051541,0.5928571428571429
ETFs,IBIT,CatBoost,0.47901234567901235,0.08496123720535927,0.4180327868852459
ETFs,IBIT,XGBoost,0.5111111111111111,0.11544365163023172,0.4918032786885246
ETFs,IBIT,LightGBM,0.4666666666666666,0.0746479825078073,0.45081967213114754
ETFs,IBIT,RandomForest,0.491358024691358,0.07784633466881209,0.5
ETFs,IBIT,LogisticRegression,0.5160493827160494,0.08882027530175284,0.4262295081967213
ETFs,IVV,CatBoost,0.4591397849462366,0.05706021144697461,0.38571428571428573
ETFs,IVV,XGBoost,0.4946236559139785,0.06842968850192396,0.3678571428571429
ETFs,IVV,LightGBM,0.4580645161290323,0.062365591397849474,0.3678571428571429
ETFs,IVV,RandomForest,0.4967741935483871,0.07225934458671586,0.35
ETFs,IVV,LogisticRegression,0.4516129032258064,0.06619674826503821,0.6107142857142858
ETFs,LQD,CatBoost,0.5182795698924731,0.055727563526236285,0.5
ETFs,LQD,XGBoost,0.4763440860215054,0.06589915460664326,0.5071428571428571
ETFs,LQD,LightGBM,0.4827956989247312,0.060387617557414924,0.45714285714285713
ETFs,LQD,RandomForest,0.489247311827957,0.06167582967612899,0.5071428571428571
ETFs,LQD,LogisticRegression,0.5086021505376344,0.05095912090783994,0.4035714285714286
ETFs,QQQ,CatBoost,0.4483870967741936,0.04803937183588962,0.3678571428571429
ETFs,QQQ,XGBoost,0.4215053763440861,0.04480143366881646,0.3678571428571429
ETFs,QQQ,LightGBM,0.4505376344086022,0.051947837974972745,0.3678571428571429
ETFs,QQQ,RandomForest,0.5032258064516129,0.0815079297128913,0.3678571428571429
ETFs,QQQ,LogisticRegression,0.4505376344086022,0.04412534307243697,0.41785714285714287
ETFs,SPY,CatBoost,0.4752688172043011,0.05875731652608279,0.3678571428571429
ETFs,SPY,XGBoost,0.43978494623655917,0.059032160134670136,0.35714285714285715
ETFs,SPY,LightGBM,0.432258064516129,0.0603109834941082,0.35714285714285715
ETFs,SPY,RandomForest,0.4956989247311828,0.07460537100516838,0.35
ETFs,SPY,LogisticRegression,0.4236559139784946,0.06346819167042454,0.48214285714285715
ETFs,TLT,CatBoost,0.5290322580645161,0.0197100029890574,0.6035714285714285
ETFs,TLT,XGBoost,0.4956989247311828,0.04225136065459891,0.5357142857142857
ETFs,TLT,LightGBM,0.4989247311827957,0.028932524832416567,0.5392857142857143
ETFs,TLT,RandomForest,0.5483870967741935,0.022036453260128194,0.5214285714285715
ETFs,TLT,LogisticRegression,0.5494623655913978,0.06896824821860033,0.5214285714285715
ETFs,USO,CatBoost,0.5709677419354838,0.0792641612644392,0.6035714285714285
ETFs,USO,XGBoost,0.5978494623655914,0.08006241061929587,0.6142857142857143
ETFs,USO,LightGBM,0.5677419354838709,0.08228441492347952,0.5892857142857143
ETFs,USO,RandomForest,0.5817204301075268,0.07413898570296001,0.5928571428571429
ETFs,USO,LogisticRegression,0.5064516129032258,0.06133746536323296,0.5428571428571428
ETFs,XLE,CatBoost,0.5333333333333333,0.04359813964024365,0.5107142857142857
ETFs,XLE,XGBoost,0.521505376344086,0.04287613341371375,0.5
ETFs,XLE,LightGBM,0.5258064516129032,0.041282481334306384,0.4607142857142857
ETFs,XLE,RandomForest,0.5182795698924731,0.08818515507016203,0.4607142857142857
ETFs,XLE,LogisticRegression,0.5043010752688172,0.030489133072597464,0.45357142857142857
ETFs,XLK,CatBoost,0.5172043010752688,0.0764424627405429,0.3964285714285714
ETFs,XLK,XGBoost,0.5043010752688172,0.0572422866847577,0.45357142857142857
ETFs,XLK,LightGBM,0.5096774193548387,0.03956638600639592,0.3964285714285714
ETFs,XLK,RandomForest,0.532258064516129,0.04327873504838303,0.37857142857142856
ETFs,XLK,LogisticRegression,0.4935483870967742,0.06871632390826003,0.5535714285714286
ETFs,XLV,CatBoost,0.546236559139785,0.1222027754423688,0.525
ETFs,XLV,XGBoost,0.535483870967742,0.12120526263192993,0.5071428571428571
ETFs,XLV,LightGBM,0.5172043010752688,0.11253909535101886,0.5285714285714286
ETFs,XLV,RandomForest,0.5430107526881721,0.1307236809929388,0.5107142857142857
ETFs,XLV,LogisticRegression,0.5279569892473118,0.10208826624875633,0.5392857142857143
Futures,BANK_NIFTY_Futures,CatBoost,0.47804878048780497,0.13211319574586186,0.5
Futures,BANK_NIFTY_Futures,XGBoost,0.4487804878048781,0.12082405928293499,0.532258064516129
Futures,BANK_NIFTY_Futures,LightGBM,0.4878048780487806,0.1267354249440642,0.532258064516129
Futures,BANK_NIFTY_Futures,RandomForest,0.5146341463414635,0.16167622847977123,0.5564516129032258
Futures,BANK_NIFTY_Futures,LogisticRegression,0.46097560975609764,0.14251084056577112,0.5
Futures,BANK_NIFTY_Options,CatBoost,0.47804878048780497,0.13211319574586186,0.5
Futures,BANK_NIFTY_Options,XGBoost,0.4487804878048781,0.12082405928293499,0.532258064516129
Futures,BANK_NIFTY_Options,LightGBM,0.4878048780487806,0.1267354249440642,0.532258064516129
Futures,BANK_NIFTY_Options,RandomForest,0.5146341463414635,0.16167622847977123,0.5564516129032258
Futures,BANK_NIFTY_Options,LogisticRegression,0.46097560975609764,0.14251084056577112,0.5
Futures,BRIGADE_Options,CatBoost,0.5,0.11873816043549351,0.4112903225806452
Futures,BRIGADE_Options,XGBoost,0.5024390243902439,0.09171510086323494,0.4032258064516129
Futures,BRIGADE_Options,LightGBM,0.47073170731707314,0.0648064890516411,0.4112903225806452
